====================================================================================
[v9册v1(包p7-10)] C:\提示词\工作区\字替对照-0909\靠齐样张-0910\靠齐样张包-v9-21页0911.pdf  页表=[7, 8, 9, 10]
====================================================================================
  页  栏    基线mm   Δ左mm   Δ右mm    档  行首
 10  R  169.09   0.32   3.16   顶格  [解析] 非零向量⃗⃗⃗⃗⃗𝑎⋅⃗⃗⃗⃗⃗𝑏
 10  R  176.83   0.16  64.20   顶格  4. [答案] D
 10  R  183.15   0.32   0.02   顶格  [解析] 取𝐴𝐶中点𝐺，⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
 10  R  185.32   0.32   0.02   顶格  2⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐶+ 12⃗
 10  R  189.48   0.16  76.39   顶格  选D.
 10  R  197.21   0.24  60.82   顶格  5. [答案] √13
 10  R  203.54   0.32   0.28   顶格  [解析]⃗⃗⃗⃗⃗𝑎⋅⃗⃗⃗⃗⃗𝑏= 4 ×
 10  R  209.86   0.49  59.38   顶格  12 = 13，故√13.
--- 汇总 ---
  顶格: 288/299  Δ-0.18–0.75mm 中位0.24
  一档: 0/299  —
  居中: 0/299  —
  其他: 11/299  Δ0.92–57.05mm 中位11.59
  — 顶格样本（标签行/条目行）—
    p7L Δ0.24mm 「一、课前预习：知识点填空与判断答案——序与导」
    p7L Δ0.16mm 「学件同」
    p7L Δ0.16mm 「知识点一　空间向量的概念：填空11 空／判断」
    p7L Δ0.07mm 「——序与导学件同」
    p7L Δ0.32mm 「[答案] 1．大小　2．方向　3．长度　4．」
    p7L Δ0.24mm 「6．0 　7．1 　8．相反　9．互相平行　」
  — 一档样本（内容/续行）—
  — 居中样本（知识点标题行）—
  — 其他明细（逐条人工归类）—
    p7L 基线24.58mm Δ左7.01mm Δ右-0.06mm 「参考答案」
    p7L 基线35.4mm Δ左11.59mm Δ右-0.06mm 「第一章空间向量与立体几何」
    p7L 基线53.56mm Δ左35.12mm Δ右0.11mm 「1.1.1空间向量及其运算(导学件答案)」
    p7R 基线282.81mm Δ左31.91mm Δ右9.08mm 「第一章空间向量与立体几何参考答案1」
    p8L 基线237.76mm Δ左1.0mm Δ右0.45mm 「目标向量写成基底向量的线性组合并求系数时，判」
    p8L 基线282.81mm Δ左9.13mm Δ右31.94mm 「2高中数学选择性必修第一册(人教B 版)」
    p9L 基线203.71mm Δ左0.92mm Δ右77.75mm 「√10」
    p9R 基线60.82mm Δ左30.55mm Δ右38.04mm 「𝜆= −2𝑘」
    p9R 基线116.59mm Δ左57.05mm Δ右11.45mm 「𝜆= −2𝑘」
    p9R 基线282.81mm Δ左31.91mm Δ右9.08mm 「第一章空间向量与立体几何参考答案3」
    p10L 基线282.81mm Δ左9.05mm Δ右31.94mm 「4高中数学选择性必修第一册(人教B 版)」
  — 结构核对 —
    标签行（[答案]/[解析]/[题型总结]…起行）共49，其中顶格49，非顶格[]
    题型行共18，Δ左分布[0.16]
    知识点行共3，档别[(7, 'L', 0.16, 0.11, '顶格'), (7, 'L', 0.16, 0.11, '顶格'), (7, 'L', 0.16, 0.11, '顶格')]
====================================================================================
[v10册v1现件(p1-4)] C:\提示词\工作区\字替对照-0909\导学件答案册-v1\main.pdf  页表=[1, 2, 3, 4]
====================================================================================
  页  栏    基线mm   Δ左mm   Δ右mm    档  行首
  1  L   24.58   7.01  -0.06   其他  参考答案
  1  L   35.40  11.59  -0.06   其他  第一章空间向量与立体几何
  1  L   53.56  35.12   0.11   其他  1.1.1空间向量及其运算(导学件答案)
  1  L   63.29   0.24   0.19   顶格  一、课前预习：知识点填空与判断答案——序与导
  1  L   69.61   0.16  73.01   顶格  学件同
  1  L   78.05  18.95  18.91   居中  知识点一　空间向量的概念
  1  L   83.67   9.30   9.42   居中  填空11 空／判断2 题——序与导学件同
  1  L   90.70   0.32  49.81   顶格  [答案] 1．大小　方向
  1  L   97.03   5.15  67.93   一档  2．长度
  1  L  103.35   5.24   4.17   一档  3．零　0 　0 　1 　相反　互相平行　重
  1  L  109.68   5.15  67.84   一档  模相等
  1  L  116.00   5.24  61.49   一档  (1)× 　(2)√
  1  L  122.33   0.32   0.11   顶格  [解析] (1) 模相等方向未必相同，还可能
  1  L  128.66   5.15  37.19   一档  交，两向量未必相等，故×.
  1  L  134.98   5.24   0.11   一档  (2) 相等向量方向相同，所在直线平行或重合
  1  L  141.31   5.15  23.90   一档  合共线向量(平行向量) 定义，故√.
  1  L  149.04  15.06  15.10   居中  知识点二　空间向量的线性运算
  1  L  154.66  10.15  10.27   居中  填空5 空／判断2 题——序与导学件同
  1  L  161.69   0.32  10.61   顶格  [答案] 1．三角形　平行四边形　相同　相反
  1  L  168.02   5.15  67.76   一档  2．实数
  1  L  174.35   5.24  61.75   一档  (1)× 　(2)×
  1  L  180.67   0.32   0.19   顶格  [解析] (1) 平行传递需⃗⃗⃗⃗⃗𝑏≠⃗
  1  L  187.00   5.49  33.30   一档  向量平行，传递性失效，故×.
  1  L  193.33   5.24   9.42   一档  (2) 缺⃗⃗⃗⃗⃗𝑏≠⃗⃗⃗⃗⃗0 前提；
  1  L  201.06   6.34   6.37   居中  知识点三　空间向量的夹角、数量积与共面
  1  L  206.68  10.15  10.27   居中  填空4 空／判断2 题——序与导学件同
  1  L  213.71   0.32  35.84   顶格  [答案] 1．[0°,180°] 　互相垂直
  1  L  220.04   5.15  63.95   一档  2．零向量
  1  L  226.36   5.15  56.07   一档  4．有序实数对
  1  L  232.69   5.24  61.83   一档  (1)√　(2)×
  1  L  239.02   0.32   0.28   顶格  [解析] (1)⃗⃗⃗⃗⃗𝑝是⃗⃗⃗⃗⃗𝑎、
  1  L  245.34   5.24  50.74   一档  三向量共面，故√.
  1  L  251.67   5.24   0.28   一档  (2) 数量积大于0 仅保证cos 𝜃> 0
  1  L  257.99   5.49   0.02   一档  [0∘, 90∘)；𝜃= 0∘(同向) 时数
  1  L  264.32   5.15  71.99   一档  故×.
  1  R   63.29   0.24   0.28   顶格  二、课中探究：九探究点× 例1 ／变式1——
  1  R   69.61   0.24  65.05   顶格  导学件同号
  1  R   78.05   0.24   6.97   顶格  探究点一　空间向量的概念辨析：例1 ／变式1
  1  R   86.48   0.24  58.02   顶格  例1[答案] B
  1  R   92.81   5.15  34.82   一档  题型：空间向量的概念辨析
  1  R   99.13   0.32   0.45   顶格  [分析] 根据零向量、单位向量、向量的模、相
  1  R  105.46   5.15   6.71   一档  量、相反向量等概念逐一分析即可得出答案.
  1  R  111.79   0.32   0.28   顶格  [详解] 解：若|⃗⃗⃗⃗⃗𝑎| = |⃗⃗
  1  R  118.11   5.49   0.19   一档  向量，方向相反时是相反向量，还有可能方向既
  1  R  124.44   5.15  40.33   一档  不相同，也不相反，A 错；
  1  R  130.77   5.15   2.82   一档  若⃗⃗⃗⃗⃗𝑎,⃗⃗⃗⃗⃗𝑏为相反向量，则它
  1  R  137.09   5.15  30.59   一档  零向量的方向是任意的，C 错；
  1  R  143.42   5.24   0.11   一档  两个单位向量只是模都为1，方向不一定相同，D
  1  R  149.74   5.15  61.49   一档  错. 故选：B.
  1  R  157.48   0.32  57.77   顶格  变式1 [答案] D
  1  R  163.80   5.15  34.82   一档  题型：空间向量的概念辨析
  1  R  170.13   0.32   0.19   顶格  [解析] A 规定成立；B 模为0 即零向量
  1  R  176.46   5.15  12.13   一档  模；D 平行不需等模(反例⃗⃗⃗⃗⃗𝑎= 2
  1  R  183.84   0.32  30.00   顶格  [题型总结] 空间向量的概念辨析
  1  R  190.16   5.24   0.02   一档  识别信号：题干围绕模、方向、零向量、单位向量
  1  R  196.49   5.32   0.45   一档  相等向量与相反向量罗列说法要求辨误时，判归
  1  R  202.81   5.24  67.08   一档  本题型.
  1  R  209.14   5.24   0.53   一档  通法步骤：对照定义逐条核验，存疑条目用反例
  1  R  215.47   5.40  70.98   一档  否定.
  1  R  221.79   5.66   8.91   一档  易错点：排除错误项定答案，忌凭直觉误选.
  1  R  229.53   0.24   6.97   顶格  探究点二　空间向量的线性运算：例1 ／变式1
  1  R  237.96   0.24  46.59   顶格  例1[答案]⃗⃗⃗⃗⃗𝑏−⃗⃗⃗⃗⃗𝑎−⃗⃗
  1  R  244.29   5.15  34.91   一档  题型：空间向量的线性运算
  1  R  250.61   0.32   0.36   顶格  [分析] 连接𝐶𝐴1, 根据直三棱柱的结构特
  1  R  256.94   5.49   0.02   一档  向量减法的几何意义可得⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  1  R  263.27   5.15  39.73   一档  结合已知即可求表达式.
  1  R  269.59   0.32   0.28   顶格  [详解] 连接𝐶𝐴1, 则⃗⃗⃗⃗⃗⃗⃗⃗⃗
  1  R  275.92   4.98  65.13   一档  𝑏−⃗⃗⃗⃗⃗𝑎−⃗⃗⃗⃗𝑐.
  1  R  282.81  31.91   9.08   其他  第一章空间向量与立体几何参考答案1
  2  L   23.11   5.15  48.37   一档  故答案为：⃗⃗⃗⃗⃗𝑏−⃗⃗⃗⃗⃗𝑎−⃗⃗⃗
  2  L   82.44   0.32  46.59   顶格  变式1 [答案]⃗⃗⃗⃗⃗𝑎−⃗⃗⃗⃗⃗𝑏−
  2  L   88.77   5.15  34.91   一档  题型：空间向量的线性运算
  2  L   95.10   0.32  15.10   顶格  [解析]⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  2  L  102.48   0.32  30.08   顶格  [题型总结] 空间向量的线性运算
  2  L  108.80   5.24   0.11   一档  识别信号：在几何体中给出若干已知向量、要求
  2  L  115.13   5.15  30.17   一档  表示指定向量时，判归本题型.
  2  L  121.45   5.24   0.45   一档  通法步骤：为目标向量选一条首尾相接的路径写
  2  L  127.78   5.74   0.36   一档  出加减链，再把链中各段用相等或共线的已知向
  2  L  134.11   5.32  26.27   一档  量替换，最后合并化简得表达式.
  2  L  140.43   5.66   5.02   一档  易错点：复查每段方向与起讫点，防抄错向量.
  2  L  148.17   0.24  14.76   顶格  探究点三　用基底表示向量：例1 ／变式1
  2  L  156.60   0.24  54.38   顶格  例1[答案] 1；1
  2  L  158.76   0.58  54.38   顶格  4
  2  L  162.93   5.15  42.70   一档  题型：用基底表示向量
  2  L  169.25   0.32   0.19   顶格  [分析] 结合空间向量的线性运算列方程，由此
  2  L  175.58   4.98  65.22   一档  𝑥, 𝑦的值.
  2  L  181.91   0.32   0.28   顶格  [详解]⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐸=⃗
  2  L  184.07   0.32   0.28   顶格  4⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  2  L  189.16   4.90   9.59   一档  𝐴𝐷)，所以𝑥= 1, 𝑦= 1
  2  L  191.32   4.90   9.59   一档  4. 故答案为：1；14
  2  L  197.82   0.32  42.27   顶格  变式1 [答案] 𝑥= 1，𝑦= 1
  2  L  199.98   0.32  42.27   顶格  2
  2  L  204.14   5.15  42.70   一档  题型：用基底表示向量
  2  L  210.47   0.32  -0.06   顶格  [解析]⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐸=⃗
  2  L  212.63   0.32  -0.06   顶格  2(⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐵+⃗⃗⃗⃗
  2  L  217.72   4.98  31.77   一档  𝑦= 1
  2  L  219.89   4.98  69.71   一档  2.
  2  L  225.11   0.32  37.79   顶格  [题型总结] 用基底表示向量
  2  L  231.43   5.24   0.11   一档  识别信号：指定三个不共面的向量作基底、要求
  2  L  237.76   5.15   0.11   一档  把目标向量写成基底向量的线性组合并求系数
  2  L  244.08   5.49  53.53   一档  时，判归本题型.
  2  L  250.41   5.24   0.19   一档  通法步骤：先把目标向量沿几何路径分解为基底
  2  L  256.74   5.49  10.69   一档  向量的和，再把各段按比例关系代入基底.
  2  L  263.06   5.66   0.45   一档  易错点：比较等式两边系数求出待定值，防漏写
  2  L  269.39   5.66  67.08   一档  中间段.
  2  L  282.81   9.13  31.94   其他  2高中数学选择性必修第一册(人教B 版)
  2  R   23.11   0.24  14.76   顶格  探究点四　共面向量的判定：例1 ／变式1
  2  R   31.55   0.24  58.02   顶格  例1[答案] C
  2  R   37.88   5.15  42.61   一档  题型：共面向量的判定
  2  R   44.20   0.32   9.76   顶格  [分析] 利用空间向量共面定理逐一判断即可.
  2  R   50.53   0.32   0.02   顶格  [详解] 若⃗⃗⃗⃗⃗𝑎，⃗⃗⃗⃗⃗𝑏共线，
  2  R   56.85   5.15   0.02   一档  若⃗⃗⃗⃗⃗𝑎，⃗⃗⃗⃗⃗𝑏不共线，则满足共
  2  R   63.18   5.15  70.38   一档  ①对；
  2  R   69.51   5.49   0.19   一档  同理③对；若⃗⃗⃗⃗⃗𝑝与⃗⃗⃗⃗⃗𝑎，⃗⃗
  2  R   75.83   5.15   5.10   一档  定有⃗⃗⃗⃗⃗𝑝=x⃗⃗⃗⃗⃗𝑎+y⃗⃗⃗⃗
  2  R   83.57   0.32   0.19   顶格  变式1 [答案] 共面(⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  2  R   89.89   4.98  15.52   一档  𝑀𝑃，⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝑀𝐴，
  2  R   96.22   5.15  42.61   一档  题型：共面向量的判定
  2  R  102.54   0.32   0.19   顶格  [解析]⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝑀
  2  R  108.87   5.24  29.91   一档  三向量共面，𝑃在平面𝑀𝐴𝐵内.
  2  R  116.25   0.32  37.87   顶格  [题型总结] 共面向量的判定
  2  R  122.58   5.24   0.19   一档  识别信号：题干给出p=xa+yb 或MP=x
  2  R  128.90   5.32   0.02   一档  一类线性表示与“共面”结论的互推说法判断时，
  2  R  135.23   5.24  59.21   一档  判归本题型.
  2  R  141.56   5.24   0.28   一档  通法步骤：核对充要条件的前提(两向量不共线
  2  R  147.88   5.32   0.11   一档  或三点不共线) 是否齐备，再对缺前提的说法举
  2  R  154.21   5.32  55.31   一档  共线反例排除.
  2  R  160.54   5.66  22.38   一档  易错点：最后汇总正确序号定选项.
  2  R  168.27   0.24   3.07   顶格  探究点五　数量积的概念与运算律：例1 ／变式
  2  R  176.70   0.24  55.23   顶格  例1[答案] AD
  2  R  183.03   5.15  30.93   一档  题型：数量积的概念与运算律
  2  R  189.36   0.32   0.19   顶格  [分析] 根据空间向量数量积的定义与运算律一
  2  R  195.68   5.24  62.59   一档  判断即可；
  2  R  202.01   0.32   0.02   顶格  [详解] 解：对于A：⃗⃗⃗⃗⃗𝑎2 =⃗⃗
  2  R  208.33   5.24  22.04   一档  正确；
  2  R  214.66   5.15   0.19   一档  对于B：因为向量不能做除法，即⃗⃗⃗⃗⃗𝑏⃗
  2  R  216.92   5.15   0.19   一档  𝑎无意义，故B
  2  R  220.99   5.15  70.38   一档  错误；
  2  R  227.31   5.15   0.28   一档  对于C：(⃗⃗⃗⃗⃗𝑎⋅⃗⃗⃗⃗⃗𝑏)2 =
  2  R  233.64   5.32  41.34   一档  |⃗⃗⃗⃗⃗𝑏|2 cos2⟨⃗⃗⃗⃗⃗𝑎,
  2  R  239.97   5.15   0.02   一档  对于D：(⃗⃗⃗⃗⃗𝑎−⃗⃗⃗⃗⃗𝑏)2 =
  2  R  246.29   5.15  47.35   一档  故D 正确；故选：AD
  2  R  254.02   0.32  54.63   顶格  变式1 [答案] −11
  2  R  260.35   5.15  30.93   一档  题型：数量积的概念与运算律
  2  R  266.68   0.32   0.28   顶格  [解析]⃗⃗⃗⃗⃗𝑎⋅⃗⃗⃗⃗⃗𝑏= 2 ×
  2  R  273.00   5.15  43.29   一档  2⃗⃗⃗⃗⃗𝑏2 = 4 + 3 −18 =
  3  L   23.11   0.32  26.10   顶格  [题型总结] 数量积的概念与运算律
  3  L   29.44   5.24   0.36   一档  识别信号：题干列出数量积相关的若干等式(平
  3  L   35.77   5.40   0.28   一档  方、商式、乘积展开) 要求判断正误时，判归本
  3  L   42.09   5.40  74.87   一档  型.
  3  L   48.42   5.24   0.11   一档  通法步骤：按定义a·b=|a||b|cosθ
  3  L   54.75   5.40  55.31   一档  开后移项验算.
  3  L   61.07   5.66   0.19   一档  易错点：警惕向量无除法、数量积无结合律等误
  3  L   67.40   5.49  74.87   一档  用.
  3  L   75.13   0.24   6.97   顶格  探究点六　数量积求夹角与投影：例1 ／变式1
  3  L   83.57   0.24  55.82   顶格  例1[答案] 60∘
  3  L   89.89   5.15  34.99   一档  题型：数量积求夹角与投影
  3  L   96.22   0.32   0.19   顶格  [分析] 方法1：结合图形，平移向量，利用空
  3  L  102.54   5.40   6.21   一档  的夹角定义来求，但要注意向量夹角的范围；
  3  L  108.87   5.15   0.28   一档  方法2：先求⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  3  L  113.31   5.49   0.28   一档  𝐵𝐶1 ⋅⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐶
  3  L  115.62   5.49   0.28   一档  求cos⟨⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  3  L  118.60   5.57   0.62   一档  |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐶1
  3  L  122.58   5.40  70.98   一档  即可.
  3  L  128.90   0.32   0.28   顶格  [详解] 解：方法1：因为⃗⃗⃗⃗⃗⃗⃗⃗⃗
  3  L  135.23   5.24  44.31   一档  大小就等于⟨⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  3  L  139.65   5.49   0.02   一档  ∘，
  3  L  141.56   5.49   0.02   一档  因为△𝐶𝐴𝐷1 为等边三角形，所以∠𝐶𝐴𝐷1
  3  L  147.88   5.15  20.43   一档  所以⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐶
  3  L  154.21   5.15   0.28   一档  方法2．设正方体的棱长为1，⃗⃗⃗⃗⃗⃗⃗⃗
  3  L  160.54   5.07   0.28   一档  𝐶𝐶1) ⋅(⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐵
  3  L  166.86   4.90   0.28   一档  𝐴𝐵+ |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐷|
  3  L  173.19   5.15   0.11   一档  0 + 0 = |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  3  L  177.63   5.57   0.28   一档  𝐵𝐶1 ⋅⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐶1
  3  L  179.94   5.49   0.28   一档  以cos⟨⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  3  L  182.10   5.49   0.28   一档  2，因为
  3  L  182.74   5.49   0.62   一档  √2 × √2
  3  L  182.92   5.49   0.62   一档  |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐶1
  3  L  187.40   5.40   0.19   一档  ⟨⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐶1
  3  L  193.72   5.24  69.28   一档  为60∘.
  3  L  201.89   0.32  53.96   顶格  变式1 [答案] √10
  3  L  204.08   0.32  53.96   顶格  5
  3  L  208.22   5.15  34.99   一档  题型：数量积求夹角与投影
  3  L  214.55   0.32   0.28   顶格  [解析]⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  3  L  220.87   5.15   0.28   一档  4，|⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴
  3  L  225.73  11.42  54.21   其他  4
  3  L  228.03   5.49  53.03   一档  = √10
  3  L  230.21   5.49  53.03   一档  5 .
  3  L  230.84   5.91  53.03   一档  √5 × 2√2
  3  L  236.28   0.32  30.00   顶格  [题型总结] 数量积求夹角与投影
  3  L  242.61   5.24   0.11   一档  识别信号：题干在几何体中求两向量的夹角、模
  3  L  248.93   5.40  14.59   一档  长或投影而不建坐标系时，判归本题型.
  3  L  255.26   5.24   0.45   一档  通法步骤：先平移向量使起点共点或选不共面的
  3  L  261.59   5.32   0.19   一档  三个向量作基底，再把相关向量用基底表示并算
  3  L  267.91   5.74  51.42   一档  出数量积与模长.
  3  R   23.11   5.66   0.62   一档  易错点：最后代入夹角公式并按向量夹角范围
  3  R   29.44   5.32  63.27   一档  [0,π] 取角.
  3  R   37.17   0.24  14.76   顶格  探究点七　数量积条件求参：例1 ／变式1
  3  R   45.61   0.24  31.86   顶格  例1[答案] (−1 −√3, −1 + √
  3  R   51.93   5.15  42.53   一档  题型：数量积条件求参
  3  R   58.26   0.32   0.19   顶格  [分析] 根据(⃗⃗⃗⃗⃗𝑎+ 𝜆⃗⃗⃗⃗⃗
  3  R   64.59   5.32   0.19   一档  −1−√3 < 𝜆< −1+√3，若向量⃗⃗
  3  R   70.91   5.49   0.28   一档  向共线时，则存在实数𝑘< 0 使得⃗⃗⃗⃗⃗
  3  R   76.49   5.24   0.28   一档  𝑘𝜆= 1
  3  R   79.42   5.15   0.28   一档  2⃗⃗⃗⃗⃗𝑏) 成立，得到方程组{无解，即
  3  R   83.13  41.13  27.37   其他  𝜆= −2𝑘
  3  R   88.41   5.15  70.98   一档  答案.
  3  R   94.74   0.32   0.28   顶格  [详解] 由向量⃗⃗⃗⃗⃗𝑎,⃗⃗⃗⃗⃗𝑏，
  3  R  101.06   5.15  35.75   一档  得⃗⃗⃗⃗⃗𝑎⋅⃗⃗⃗⃗⃗𝑏= 2 × 1 
  3  R  107.39   5.49   0.19   一档  因为向量⃗⃗⃗⃗⃗𝑎+ 𝜆⃗⃗⃗⃗⃗𝑏与𝜆⃗
  3  R  113.71   5.15   0.02   一档  cos⟨⃗⃗⃗⃗⃗𝑎+𝜆⃗⃗⃗⃗⃗𝑏, 𝜆⃗
  3  R  120.04   5.57   0.28   一档  由(⃗⃗⃗⃗⃗𝑎+ 𝜆⃗⃗⃗⃗⃗𝑏) ⋅(𝜆
  3  R  126.37   4.98   0.28   一档  𝑏−2𝜆⃗⃗⃗⃗⃗𝑏2 < 0，所以𝜆2 +
  3  R  132.10   5.49  50.40   一档  √3 < 𝜆< −1 + √3，
  3  R  139.02   5.15   0.19   一档  若向量⃗⃗⃗⃗⃗𝑎+ 𝜆⃗⃗⃗⃗⃗𝑏与𝜆⃗⃗
  3  R  145.35   5.15   0.19   一档  数𝑘< 0，使得⃗⃗⃗⃗⃗𝑎+ 𝜆⃗⃗⃗⃗⃗
  3  R  150.92   5.91   0.79   一档  𝑘𝜆= 1
  3  R  153.86   5.40   0.11   一档  {，此时方程组无解，所以不存在实数𝑘
  3  R  157.56   5.91  62.59   一档  𝜆= −2𝑘
  3  R  163.24   5.15   0.36   一档  使得向量⃗⃗⃗⃗⃗𝑎+ 𝜆⃗⃗⃗⃗⃗𝑏与𝜆⃗
  3  R  169.57   5.40  25.68   一档  的取值范围是(−1 −√3, −1 + √3
  3  R  177.30   0.32  55.57   顶格  变式1 [答案] −3
  3  R  179.47   0.32  55.65   顶格  2
  3  R  183.63   5.15  42.53   一档  题型：数量积条件求参
  3  R  189.96   0.32   0.28   顶格  [解析]⃗⃗⃗⃗⃗⃗⃗𝑚⋅⃗⃗⃗⃗⃗𝑛= (
  3  R  196.28   4.98   0.70   一档  𝑏= 18 + 16𝜆−12(1 + 𝜆) 
  3  R  198.44   5.15   0.70   一档  2.
  3  R  203.66   0.32  37.79   顶格  [题型总结] 数量积条件求参
  3  R  209.99   5.24   0.45   一档  识别信号：题干给出两向量的模与夹角、并以
  3  R  216.31   5.57   0.02   一档  夹角为锐角/钝角或两向量垂直为条件求参数时，
  3  R  222.64   5.24  59.21   一档  判归本题型.
  3  R  228.97   5.24   0.28   一档  通法步骤：第一步用数量积把条件翻译成不等式
  3  R  235.29   5.32   9.08   一档  或方程(锐角cos>0、钝角cos<0、垂直
  3  R  241.62   5.66   0.11   一档  易错点：再求解并剔除使两向量共线的参数，最
  3  R  247.95   5.15  35.84   一档  后写出参数值或取值范围.
  3  R  255.68   0.24   4.09   顶格  探究点八　数量积求距离(展开法)：例1 ／变
  3  R  264.11   0.24  57.77   顶格  例1[答案] D
  3  R  270.44   5.15  31.94   一档  题型：数量积求距离(展开法)
  3  R  282.81  31.91   9.08   其他  第一章空间向量与立体几何参考答案3
  4  L   23.11   0.32   0.19   顶格  [分析] 由⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐷
  4  L   29.44   5.15  48.37   一档  展开即可得到答案
  4  L   35.77   0.32   0.28   顶格  [详解] ∵⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵
  4  L   42.09   5.32   0.02   一档  |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐸𝐷|2+2
  4  L   48.42   5.15  40.07   一档  故|⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐷| =
  4  L   54.75   0.32   0.36   顶格  [点睛] 本题是要求空间两点之间的距离，运用
  4  L   61.07   5.49   5.02   一档  向量将其表示，然后计算得到结果，较为基础.
  4  L   68.80   0.32  56.24   顶格  变式1 [答案] √2
  4  L   75.13   5.15  31.94   一档  题型：数量积求距离(展开法)
  4  L   81.46   0.32   0.02   顶格  [解析] |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵
  4  L   87.78   5.15  59.21   一档  故|⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐷| =
  4  L   95.16   0.32  27.12   顶格  [题型总结] 数量积求距离(展开法)
  4  L  101.49   5.24   0.36   一档  识别信号：题干在含二面角的拼接图形中求两点
  4  L  107.82   5.24  45.74   一档  距离时，判归本题型.
  4  L  114.14   5.24   0.36   一档  通法步骤：第一步把待求线段对应的向量写成已
  4  L  120.47   5.24   0.19   一档  知棱向量的首尾相接和链，再对模长平方作数量
  4  L  126.80   5.32   0.28   一档  积展开，逐项代入模长与夹角(端点处两条垂线
  4  L  133.12   5.15   3.24   一档  段的夹角由二面角决定，注意取45° 还是13
  4  L  139.45   5.66  37.96   一档  易错点：最后开方得距离.
  4  L  147.18   0.24   0.45   顶格  探究点九　数量积求距离(折叠矩形)：例1 ／
  4  L  155.61   0.24  57.68   顶格  例1[答案] A
  4  L  161.94   5.15  28.05   一档  题型：数量积求距离(折叠矩形)
  4  L  168.27   0.32  -0.06   顶格  [分析] 过点𝐵，𝐷分别向𝐴𝐶作垂线，垂足分
  4  L  174.59   4.98   0.19   一档  𝑁，由⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐷=⃗
  4  L  180.92   5.24  55.31   一档  直关系可得解.
  4  L  187.25   0.32   0.28   顶格  [详解] 过点𝐵，𝐷分别向𝐴𝐶作垂线，垂足分
  4  L  194.30   5.24  -0.06   一档  为𝑀，𝑁，则可得𝐴𝑀= 1
  4  L  196.46   5.24  -0.06   一档  2，𝐵𝑀= √32 ，𝐶𝑁= 12，
  4  L  202.81   5.07   0.36   一档  𝐷𝑁= √3
